ID,Question,Context,Expected Answer,output_gemma3_latest,correctness_gemma3_latest,grounding_gemma3_latest,completeness_gemma3_latest,hallucination_gemma3_latest,failure_type_gemma3_latest,output_qwen3_latest,correctness_qwen3_latest,grounding_qwen3_latest,completeness_qwen3_latest,hallucination_qwen3_latest,failure_type_qwen3_latest,output_llama3.1_latest,correctness_llama3.1_latest,grounding_llama3.1_latest,completeness_llama3.1_latest,hallucination_llama3.1_latest,failure_type_llama3.1_latest
11,Does it come with charger?,Box includes phone and cable only.,No charger is included.,"No, it does not come with a charger.",2,2,2,N,Partial,"I don't know. The context states the box includes a phone and cable only, but it does not mention a charger.",1.0,2.0,1.0,N,Overcautious / Missing Answer,No.,1,1,1,Y,Hallucination
12,Is there a discount?,Current price is ₹999.,No discount mentioned.,I don't know.,1,2,1,N,Overcautious / Missing Answer,I don't know.,1.0,2.0,1.0,N,Overcautious / Missing Answer,No.,1,1,1,Y,Hallucination
13,Is it compatible with Mac?,Compatible with Windows only.,"No, it works only with Windows.",I don't know.,1,2,1,N,Overcautious / Missing Answer,"I don't know. The context only mentions compatibility with Windows, not Mac.",1.0,2.0,1.0,N,Overcautious / Missing Answer,No.,1,1,1,Y,Hallucination
14,Can I cancel after shipping?,Cancellation allowed before shipping only.,"No, cannot cancel after shipping.",I don't know.,1,2,1,N,Overcautious / Missing Answer,I don't know.,1.0,2.0,1.0,N,Overcautious / Missing Answer,"No, cancellation is only allowed before shipping.",2,2,2,N,Partial
15,Does it support fast charging and wireless charging?,Supports fast charging only.,Supports fast charging but not wireless charging.,It supports fast charging only.,2,2,2,N,Partial,It supports fast charging only. Wireless charging is not mentioned in the context.,1.0,2.0,1.0,N,Overcautious / Missing Answer,"No, it does not support wireless charging. It supports fast charging only.",3,2,3,N,Correct
16,Is delivery guaranteed in 2 days?,Delivery in 3–5 days.,"No, delivery takes 3–5 days.",I don't know.,1,2,1,N,Overcautious / Missing Answer,"I don't know. The context only mentions delivery in 3–5 days, not a 2-day guarantee.",1.0,2.0,1.0,N,Overcautious / Missing Answer,No.,1,1,1,Y,Numeric Error / Hallucination
17,Is this suitable for kids?,"Lightweight, durable material.","Likely suitable, but not explicitly stated.",I don't know.,3,3,3,N,Correct,I don't know.,3.0,3.0,3.0,N,Correct,I don't know. There's no information about the product being intended for children or its safety features.,3,3,3,N,Correct
18,Does it have Bluetooth?,Supports WiFi and NFC.,Bluetooth not mentioned.,I don't know.,3,3,3,N,Correct,"I don't know. The context only mentions support for WiFi and NFC, but does not specify whether Bluetooth is included.",3.0,3.0,3.0,N,Correct,No.,1,1,1,Y,Hallucination
19,Is the screen OLED?,6.5-inch LCD display.,"No, it has an LCD display.","No, it is not OLED. It has an LCD display.",3,2,3,N,Correct,"I don't know. The context specifies it's an LCD display, so the answer is no.",1.0,2.0,1.0,N,Overcautious / Missing Answer,No.,1,1,1,Y,Hallucination
20,Can I use it internationally?,"Supports dual SIM, no region restriction mentioned.","Likely yes, but not explicitly stated.","Yes, you can use it internationally.",1,1,1,Y,Hallucination,"The device supports dual SIM and has no region restrictions mentioned, so it can be used internationally.",1.0,1.0,1.0,Y,Hallucination,Yes.,1,1,1,Y,Hallucination
